ID,HasRevenue
0,0.0051971455
1,0.047386684
2,0.0031767236
3,0.14987232
4,0.003776251
5,0.001240663
6,0.024554808
7,0.0065557314
8,0.0057891947
9,0.89852196
10,0.003965168
11,0.04673817
12,0.0058299005
13,0.013996695
14,0.0046653864
15,0.00755781
16,0.06207606
17,0.008848037
18,0.061288923
19,0.0049768384
20,0.784968
21,0.009917181
22,0.04560143
23,0.7489112
24,0.0032684745
25,0.005008692
26,0.0051083104
27,0.042209808
28,0.0077966847
29,0.06834526
30,0.062587015
31,0.07664576
32,0.47054273
33,0.0032115714
34,0.008861881
35,0.05213922
36,0.00214888
37,0.004518409
38,0.06172289
39,0.008861881
40,0.0052518067
41,0.107522406
42,0.060490012
43,0.78524315
44,0.0040343227
45,0.03589764
46,0.0914045
47,0.0065238248
48,0.004018705
49,0.12139269
50,0.003950477
51,0.003966484
52,0.0058489786
53,0.0065717287
54,0.039309297
55,0.032392297
56,0.0029495964
57,0.0035783825
58,0.004252842
59,0.0014156874
60,0.003000803
61,0.05017602
62,0.15949893
63,0.004518409
64,0.044349734
65,0.020694638
66,0.3445308
67,0.030451879
68,0.73262405
69,0.886201
70,0.06379045
71,0.13668889
72,0.16500294
73,0.0037597462
74,0.00334837
75,0.031577613
76,0.06745507
77,0.030053249
78,0.037899546
79,0.007089209
80,0.0077495244
81,0.26588243
82,0.6195522
83,0.10713443
84,0.9554282
85,0.004874608
86,0.005747284
87,0.8733341
88,0.07699468
89,0.031860784
90,0.09767328
91,0.12084502
92,0.61187303
93,0.0052749496
94,0.53108853
95,0.27648073
96,0.06157305
97,0.0021162007
98,0.0040723323
99,0.002630444
100,0.55452144
101,0.0051679495
102,0.14634515
103,0.0062030503
104,0.006632289
105,0.15858091
106,0.7596949
107,0.001091645
108,0.9751448
109,0.033561494
110,0.05474824
111,0.0031850534
112,0.0040343227
113,0.8398761
114,0.039267957
115,0.024231214
116,0.72676104
117,0.0039149984
118,0.0038213492
119,0.016914826
120,0.30141434
121,0.04107832
122,0.2810274
123,0.07410175
124,0.29274538
125,0.0054435586
126,0.0013133035
127,0.0012441138
128,0.4974805
129,0.058707673
130,0.031570997
131,0.32267752
132,0.04293915
133,0.05937699
134,0.007464161
135,0.02110603
136,0.06355739
137,0.011817591
138,0.80970776
139,0.38252068
140,0.29595914
141,0.0073299706
142,0.0069128014
143,0.085450016
144,0.14092131
145,0.12241631
146,0.0015940275
